dataset,size,algorithm,time_us,char_comparisons
"almost_sorted",1400,"string_mergesort",184,6621
"almost_sorted",1400,"msd_radix_sort",234,0
"almost_sorted",1400,"msd_radix_sort_with_quick",284,11631
"almost_sorted",1500,"standard_quicksort",89,52560
"almost_sorted",1500,"standard_mergesort",476,16556
"almost_sorted",1500,"string_quicksort",367,24555
"almost_sorted",1500,"string_mergesort",200,7140
"almost_sorted",1500,"msd_radix_sort",246,0
"almost_sorted",1500,"msd_radix_sort_with_quick",304,12260
"almost_sorted",1600,"standard_quicksort",92,53969
"almost_sorted",1600,"standard_mergesort",531,17657
"almost_sorted",1600,"string_quicksort",394,25894
"almost_sorted",1600,"string_mergesort",209,7639
"almost_sorted",1600,"msd_radix_sort",262,0
"almost_sorted",1600,"msd_radix_sort_with_quick",337,13333
"almost_sorted",1700,"standard_quicksort",96,63902
"almost_sorted",1700,"standard_mergesort",524,18830
"almost_sorted",1700,"string_quicksort",437,30036
"almost_sorted",1700,"string_mergesort",241,8088
"almost_sorted",1700,"msd_radix_sort",279,0
"almost_sorted",1700,"msd_radix_sort_with_quick",339,13533
"almost_sorted",1800,"standard_quicksort",107,68802
"almost_sorted",1800,"standard_mergesort",592,20045
"almost_sorted",1800,"string_quicksort",489,36971
"almost_sorted",1800,"string_mergesort",249,8695
"almost_sorted",1800,"msd_radix_sort",294,0
"almost_sorted",1800,"msd_radix_sort_with_quick",368,14821
"almost_sorted",1900,"standard_quicksort",109,64260
"almost_sorted",1900,"standard_mergesort",614,21566
"almost_sorted",1900,"string_quicksort",501,34964
"almost_sorted",1900,"string_mergesort",267,9373
"almost_sorted",1900,"msd_radix_sort",318,0
"almost_sorted",1900,"msd_radix_sort_with_quick",375,15932
"almost_sorted",2000,"standard_quicksort",118,71491
"almost_sorted",2000,"standard_mergesort",680,23369
"almost_sorted",2000,"string_quicksort",542,38593
"almost_sorted",2000,"string_mergesort",270,9841
"almost_sorted",2000,"msd_radix_sort",336,0
"almost_sorted",2000,"msd_radix_sort_with_quick",419,16601
"almost_sorted",2100,"standard_quicksort",118,76362
"almost_sorted",2100,"standard_mergesort",787,24743
"almost_sorted",2100,"string_quicksort",559,39859
"almost_sorted",2100,"string_mergesort",286,10157
"almost_sorted",2100,"msd_radix_sort",360,0
"almost_sorted",2100,"msd_radix_sort_with_quick",428,17266
"almost_sorted",2200,"standard_quicksort",130,78014
"almost_sorted",2200,"standard_mergesort",790,26153
"almost_sorted",2200,"string_quicksort",580,39796
"almost_sorted",2200,"string_mergesort",306,10727
"almost_sorted",2200,"msd_radix_sort",370,0
"almost_sorted",2200,"msd_radix_sort_with_quick",466,18760
"almost_sorted",2300,"standard_quicksort",135,83097
"almost_sorted",2300,"standard_mergesort",848,27504
"almost_sorted",2300,"string_quicksort",622,43439
"almost_sorted",2300,"string_mergesort",319,11299
"almost_sorted",2300,"msd_radix_sort",391,0
"almost_sorted",2300,"msd_radix_sort_with_quick",468,19805
"almost_sorted",2400,"standard_quicksort",138,89463
"almost_sorted",2400,"standard_mergesort",883,28626
"almost_sorted",2400,"string_quicksort",644,44237
"almost_sorted",2400,"string_mergesort",336,11856
"almost_sorted",2400,"msd_radix_sort",400,0
"almost_sorted",2400,"msd_radix_sort_with_quick",499,20232
"almost_sorted",2500,"standard_quicksort",138,93167
"almost_sorted",2500,"standard_mergesort",927,29946
"almost_sorted",2500,"string_quicksort",659,45867
"almost_sorted",2500,"string_mergesort",351,12395
"almost_sorted",2500,"msd_radix_sort",418,0
"almost_sorted",2500,"msd_radix_sort_with_quick",511,20643
"almost_sorted",2600,"standard_quicksort",150,96532
"almost_sorted",2600,"standard_mergesort",962,31002
"almost_sorted",2600,"string_quicksort",691,50208
"almost_sorted",2600,"string_mergesort",376,12968
"almost_sorted",2600,"msd_radix_sort",444,0
"almost_sorted",2600,"msd_radix_sort_with_quick",544,22250
"almost_sorted",2700,"standard_quicksort",159,98744
"almost_sorted",2700,"standard_mergesort",988,32458
"almost_sorted",2700,"string_quicksort",759,56363
"almost_sorted",2700,"string_mergesort",404,13648
"almost_sorted",2700,"msd_radix_sort",458,0
"almost_sorted",2700,"msd_radix_sort_with_quick",552,22687
"almost_sorted",2800,"standard_quicksort",160,98654
"almost_sorted",2800,"standard_mergesort",1019,33601
"almost_sorted",2800,"string_quicksort",750,54302
"almost_sorted",2800,"string_mergesort",415,14202
"almost_sorted",2800,"msd_radix_sort",478,0
"almost_sorted",2800,"msd_radix_sort_with_quick",592,23762
"almost_sorted",2900,"standard_quicksort",161,104643
"almost_sorted",2900,"standard_mergesort",1065,34678
"almost_sorted",2900,"string_quicksort",774,53827
"almost_sorted",2900,"string_mergesort",417,14759
"almost_sorted",2900,"msd_radix_sort",492,0
"almost_sorted",2900,"msd_radix_sort_with_quick",625,24647
"almost_sorted",3000,"standard_quicksort",135,124967
"almost_sorted",3000,"standard_mergesort",1100,36325
"almost_sorted",3000,"string_quicksort",804,60567
"almost_sorted",3000,"string_mergesort",449,15482
"almost_sorted",3000,"msd_radix_sort",515,0
"almost_sorted",3000,"msd_radix_sort_with_quick",634,25641
